,Loneliness,Composite Warmth Index
1,2.6,0.1032257757
2,2.7,0.2661498118
3,2.55,-0.3722286576
4,2.75,0.4662753413
5,2.85,0.5038670635
6,2.35,0.4537381239
7,2.3,1.1547628203
8,2.25,0.2160009422
9,1.5,0.2160009422
10,1.55,-1.0356616319
11,1.9,0.17840922
12,2,-0.4223575972
13,1.75,0.491329846
14,1,0.491329846
15,3.1,-0.4599493194
16,2.7,-0.1846204155
17,2.25,-0.4474320321
18,2.6,0.5038670635
19,2.15,0.8418421942
20,1.8,0.2034836548
21,2.3,-0.1721031282
22,1.95,0.8167876895
23,3.25,0.1032257757
24,2.55,-0.1219741886
25,2.15,-1.0231244144
26,3,0.1909464374
27,2.05,-0.1595659108
28,1.4,-0.0968997538
29,2.5,-0.4724865368
30,1.85,-0.1219741886
31,1.9,0.1032257757
32,1.8,0.17840922
33,3.6,-0.4223575972
34,2.75,0.491329846
35,2.55,0.8543794116
36,3.15,0.1909464374
37,2.4,-0.760332728
38,2.2,-0.0968997538
39,2.45,-1.0231244144
40,2.75,-1.761740833
41,2.45,-0.1219741886
42,2.15,-0.1094369712
43,2.65,0.7666587499
44,2.55,-0.3722286576
45,1.9,-0.1094369712
46,1.75,-0.071845249
47,2.55,-0.4223575972
48,2.05,-0.1470286933
49,1.8,0.1032257757
50,2.3,1.1171710981
51,1.95,-0.071845249
52,2.25,0.1533547153
53,2,0.1909464374
54,1.75,0.5038670635
55,3.45,0.1533547153
56,1.15,1.1171710981
57,2.05,-0.1094369712
58,2.55,-0.4599493194
59,3.25,0.6777259932
60,3.5,-0.7728699454
61,2.5,-0.4223575972
62,2.8,0.1909464374
63,1.5,0.491329846
64,3.05,-0.1094369712
65,2.25,-0.1094369712
66,1.7,-0.1094369712
67,3.2,1.1171710981
68,2,0.17840922
69,2.75,-0.7352782233
70,1.85,0.8167876895
71,2.15,-0.7854071628
72,2.9,0.1909464374
73,1.9,0.5289215682
74,2.6,-1.0356616319
75,2,-0.4724865368
76,2.7,-0.1846204155
77,1.75,-0.7102037884
78,2.6,-0.7227410058
79,1.75,0.553996003
80,1.9,0.1909464374
81,1.6,0.17840922
82,2.85,-0.1094369712
83,2.8,0.491329846
84,1.8,-0.4599493194
85,1.8,0.1909464374
86,1.4,-0.9855326923
87,2.1,-0.4223575972
88,1.1,-0.4223575972
89,2.7,-0.0843824665
90,2.8947368421,0.2034836548
91,2.65,0.241075377
92,2.3,-0.5100782589
93,2.65,1.1171710981
94,1.7,0.1909464374
95,1.3,-0.4724865368
96,2.55,-2.0370697368
97,2.05,0.241075377
98,1.85,0.1909464374
99,1.85,0.8418421942
100,2.05,-0.8104616675
101,2.05,0.4662753413
102,1.55,0.2285381596
103,2.35,-0.1219741886
104,1.7,-1.073253354
105,3,0.8042504721
106,1.25,1.1046338807
107,2.05,1.1171710981
108,2.9,0.7917132547
109,2.3684210526,-1.0481988493
110,2.5,1.1171710981
111,1.95,0.1157629931
112,3,0.4161464017
113,3.7,0.1408174979
114,2.45,0.2285381596
115,2.45,-0.7728699454
116,1,0.1909464374
117,2.4,0.1909464374
118,2.25,0.4537381239
119,1.4,0.5289215682
120,1.7,0.1909464374
121,2,-0.7728699454
122,2.6842105263,0.1909464374
123,1.15,-0.4223575972
124,2.6,0.2034836548
125,1.6,0.491329846
126,1.15,-1.4363029196
127,2.5,0.17840922
128,2.9,0.491329846
129,1,-0.7352782233
130,2.2,0.5038670635
131,1.9,0.491329846
132,2.8,0.1909464374
133,1.95,0.1909464374
134,2.05,-0.1219741886
135,2.05,-0.4724865368
136,2.55,0.491329846
137,3.65,1.1046338807
