Gender,ZPop,ZLike,PopSelf,LikeSelf,AvrSex,AvrTob,AvrAlc,risksum
1,.75872546064661,1.10290750430511,3,5, , ,.250412509407384, 
0,-.463916768774825,-1.61643534591707,3,5, ,-.578623589953683,.250412509407384, 
0,-.306632614409277,.0814147078873205,4,6,-.614716014550516, ,-1.25963867407657, 
1,-.96452176999005,-.727103212457117,2,3,-.614716014550516, ,-1.25963867407657, 
1,-.0693774072736208,-.641874353033545,1,4,.979624756988435, ,-.856230383295095, 
1,.139286107798064,.753320454362596, , ,.979624756988435, ,-.856230383295095, 
1,.107645788545946,.543288643099734,2,4,.584005643127796, ,-.856230383295095, 
1,-.582279615115143,-.804735433815565, ,4, ,.0332898097771381,-.856230383295095, 
1,.148780982182046,-.110650041650407,3,6, ,.645203209507959,-.504613082334594, 
0,.92327735556363,-2.66122850044585,6,6,-.219096900689877, ,-.101204791553117, 
0,.633474755091432,.178936828527573,4,5,.979624756988435, ,-.0494138017321417, 
1,.974727491784074,.107167263207879,5,6,2.96958464238803,2.75019001606184,2.11208099385184,9.42454741818198
0,-.30382033863531,-.617585198793023,4,6,3.7726871862057,2.13827661633102,1.76046369289134,8.55256542078882
0,-.509034521361877,-.550051206584046,5,7,1.77086298470971,2.40752322369244,1.35705540210986,8.5512410574313
0,2.01937395637335,-2.18976770711572,4,6,3.37706807234506,.841029631861397,1.00543810114936,8.2393352522751
0,.515102880989433,1.30452575088922,6,5,2.96958464238803,2.13827661633102,-.152995781374092,7.97066492426424
0,1.76906002060721,-2.34452254314392,7,7,.979624756988435,3.09285680843124,2.21566297349379,7.88083630479374
0,1.8494516187221,.645960755142357,4,5,.584005643127796,2.13827661633102,1.76046369289134,7.49854539926944
0,-.0693774072736208,-.641874353033545,2,4,2.57396552852739,1.5263632166002,1.40884639193084,7.1018669029387
0,-1.0996697112083,-.913702799139259, , ,4.16830630006634,-.578623589953683,1.76046369289134,6.94283816888427
1,-.177462579708829,.0493139972670973,2,5,.584005643127796,1.79560982396162,1.40884639193084,6.80426130593954
0,1.15129831683836,-1.20250222203682,2,1,2.16648209857035,2.75019001606184,1.00543810114936,6.80324814114232
