"","id","age","gender","edu_self","edu_moth","edu_fath","hobbies","nidpar","vddpar","N","E","O","A","C","schizo","NB_co","INSIGHT","STROOP","SHIFTCOS","fluency","CAQ_tot","CAQ_tal","FKAL_ach","FKAL_spe","CAQ_arts","GF","NB_mi","NB_RT_mi","NB_RT_co","StroopE1","StroopE2","StroopE3","ShiftC1","ShiftC2","ShiftC3","Flu1","Flu2","Flu3","Flu4","ins1","ins2","ins3","ins4","ins5","ins6","ins7","ins8","ins1_art","ins2_art","ins3_art","ins4_art","ins5_art","ins6_art","ins7_art","ins8_art","fluency2","fluency3","fluency4","flu_qu","GF_qu","O2"
"198",166,24,1,5,5,5,2,0.865,0.639,27,32,29,36,29,3,6,1,"0.390501474799578   ","1.31266313366667  ",13.5,3,4,32,18,1,0.196,3,1.037,0.912,"0.305114941720102    ","0.407324675686416   ","0.459064806992215   ",1.734395185,1.367498138,0.836096078,11,9,16,18,1,0,0,0,0,0,0,0,2,1,2,1,0,0,0,2,15.8122715295308,15.7440739859273,16.3819190012079,182.25,0.038416,28.7616045836665
"199",51,20,1,4,4,4,3,0.654,0.765,19,35,30,44,44,2,9,3,"0.0884464789874937  ","1.000093177       ",5.5,2,2,24,22,0,0.188,3,0.737,0.745,"0.167776269268203    ","0.0549691954913958  ","0.0425939722028827  ",1.382662332,1.117242654,0.500374545,7,4,3,8,1,0,0,0,9999,9999,1,1,2,2,2,2,9999,9999,1,2,7.5987631408481,9.70903121769937,7.74303341824242,30.25,0.035344,27.461598384152
"200",24,19,1,4,3,3,3,-0.384,1.459,18,36,34,37,41,5,12,0,"0.396727785452832   ","0.580721237       ",7,7,3,47,40,0,0.179,1,0.86,0.752,"0.395067192120696    ","0.467274815798707   ","0.327841348439093   ",1.335879536,0.390725831,0.015558344,5,4,9,10,0,0,0,0,0,0,0,0,2,1,2,2,1,1,2,2,8.84372422699442,10.8351598476955,9.84035628497673,49,0.032041,33.7814908740129
"201",170,24,1,4,4,5,1,1.052,-0.333,25,31,30,36,39,7,8,3,"0.123122950594359   ","0.947393712333333 ",5.25,2,0,48,23,0,-0.174,5,0.976,0.598,"0.367169669527121    ","-0.16612548343209   ","0.168324665688047   ",1.863839723,0.708344181,0.269997233,5,3,8,5,1,0,9999,0,9999,1,0,1,2,2,9999,2,9999,1,2,2,6.92108714707079,7.46011539581138,8.97278055637079,27.5625,0.030276,27.0323390987991
"202",189,26,2,5,3,3,3,-0.077,0.448,11,30,25,17,43,5,10,4,"0.0299924280309047  ","0.763236896       ",7,15,5,65,69,0,-0.173,12,0.887,0.85,"-0.176576723044891   ","0.264231232741231   ","0.00232277439637363 ",1.281766212,0.171952384,0.835992092,6,5,5,12,1,1,0,0,0,0,1,1,2,2,1,2,0,0,1,1,9.37103300269281,9.35789243267684,10.265099762153,49,0.029929,23.0236094211155
"203",133,23,1,4,3,3,2,2.363,-0.46,14,40,31,35,35,8,8,4,"0.12830432668996    ","0.57593056        ",8.25,8,4,70,55,0,0.167,1,0.706,0.756,"0.156719744577539    ","0.122927811662394   ","0.105265423829948   ",0.615519715,0.510863239,0.601408726,7,3,13,10,0,0,1,1,0,1,0,1,2,2,2,2,1,1,2,2,9.98737740140161,10.9990137508869,10.4010336962133,68.0625,0.027889,31.7927683204745
"204",102,22,1,4,4,4,3,-0.336,0.644,19,39,39,32,34,8,10,3,"0.0578573044183186  ","0.455453769333333 ",11.75,5,4,44,47,0,-0.166,12,0.919,0.884,"-0.248526769552467   ","0.227557598176103   ","0.194541084631321   ",0.507497887,0.624918772,0.233944649,5,7,16,19,0,1,0,1,0,0,9999,1,1,2,2,2,2,1,9999,1,12.8416446497812,14.9215174082503,15.8148916417718,138.0625,0.027556,38.0074448386637
"205",101,22,1,4,5,5,1,-0.373,0.675,14,35,33,32,15,8,13,6,"0.216629293990048   ","0.783865468       ",14.25,5,4,31,50,0,-0.163,8,0.879,0.571,"-0.0208555158440324  ","0.253383633631215   ","0.417359764182962   ",1.374961634,0.648561165,0.328073605,15,9,18,15,1,1,1,0,0,1,1,1,2,1,2,1,2,1,2,2,15.7762963465587,16.3202422602132,17.5144475350508,203.0625,0.026569,33.9331065599231
"206",217,29,2,3,2,3,3,1.298,0.237,12,34,36,33,46,7,7,6,"0.418667404441207   ","0.447978793666667 ",13,3,5,29,4,0,0.151,3,1.343,0.757,"0.780361393440242    ","0.0872902641851083  ","0.38835055569827    ",0.640767068,0.38278215,0.320387163,12,8,11,21,1,1,1,0,0,1,1,1,2,2,3,2,2,1,2,2,14.8701254748884,15.4249142700919,16.2646248552441,169,0.022801,32.2008616148123
"207",130,23,1,4,2,3,3,0.753,0.602,16,40,37,32,25,8,13,3,"0.423097269793757   ","0.518444694333333 ",9.25,5,0,47,27,0,0.146,4,0.835,0.601,"0.568225969462393    ","0.18255248501278    ","0.5185133549061     ",0.374849657,0.836108916,0.34437551,8,6,11,12,1,0,0,0,1,0,0,1,2,2,2,2,2,2,2,1,10.6782539186701,12.2016670118177,11.7636302672414,85.5625,0.021316,34.2683448864336
