,Loneliness,Composite Warmth Index
1,2.8,0.6047875974
2,1.4,0.0323528486
3,2,0.0323528486
4,1.7,0.318570223
5,1.5,0.318570223
6,1,-3.1670344684
7,2.1,0.318570223
8,3.9,-0.0444907237
9,3.4,0.1648830785
10,1,-0.4546225367
11,2.6,-0.1684051623
12,1.2,-0.4546225367
13,2.9,-0.4546225367
14,2.1,0.318570223
15,3.5,0.0323528486
16,3,-0.6083096812
17,1.1,0.318570223
18,2.2,0.0323528486
19,1.5,0.0323528486
20,2.9,-0.4075516704
21,1,-0.7408399111
22,2.1,-0.8945270556
23,3.1,-0.1684051623
24,1.6,0.318570223
25,3.2,-0.3307080981
26,2.2,-0.8945270556
27,1.9,-0.4546225367
28,2,-0.1684051623
29,1.8,0.0323528486
30,1.6,0.1946557844
31,2.7,0.318570223
32,1.1,-0.2750214405
33,3.1,0.318570223
34,1.1,-0.3691631731
35,2.9,-0.2538645258
36,2.6,0.0323528486
37,2.9,0.318570223
38,1.7,0.318570223
39,2.4,-0.0444907237
40,2.2,0.318570223
41,1.6,0.0323528486
42,3.3,0.5193282339
43,2.2,-0.8176834834
44,2.9,0.6047875974
45,2,0.318570223
46,1.1,0.318570223
47,2.1,0.0323528486
48,2.8,-1.0184414942
49,3.1,-0.3989358791
50,2.3,0.3954137953
51,2,0.318570223
52,1.7,-1.2575880023
53,2,-0.3307080981
54,1.1,0.318570223
55,1.8,0.318570223
56,1.4,0.318570223
57,2.4,-0.4546225367
58,1.8,-0.4546225367
59,1.9,0.318570223
60,3.5,-0.8176834834
61,2.3,0.0323528486
62,1.3,-0.1684051623
63,1.3,0.5577167311
64,1.7,-0.0444907237
65,1.9,0.1648830785
66,1.7,0.318570223
67,2.2,0.0323528486
68,1,0.0323528486
69,1.2,-0.941597922
70,2.4,1.1772223462
71,3.3,0.318570223
72,2.3,-0.0444907237
73,1.5,0.0323528486
74,1.4,-0.4546225367
75,2.6,-0.2452487345
76,1.8,0.0323528486
77,3.9,0.9678485441
78,2.7,0.0323528486
79,1.3,0.6816311697
80,1.2,-0.6937690448
81,1.4,0.0025801426
82,2.8,-0.0444907237
83,3.3,0.728702036
84,2.6,-0.6937690448
85,1,-0.1684051623
86,2.4,0.0323528486
87,2.1,-0.4546225367
88,1.5,-0.3307080981
89,1.7,-0.1684051623
90,1.2,-0.7408399111
91,1.4,0.6047875974
92,2,0.6047875974
93,2.8,-0.9799864192
94,2.9,0.318570223
95,2.8,0.2331108594
96,3,-0.3691631731
97,2.8,0.0323528486
98,1,-0.4546225367
99,1.5,-0.1684051623
100,4,0.8055456083
101,1.7,-0.4546225367
102,1.5,-0.5785369753
103,3.2,-0.4546225367
104,3.5,0.5193282339
105,1,0.0323528486
106,1.6,0.318570223
107,2.2,0.318570223
108,2.4,0.0323528486
109,3.7,0.9678485441
110,2.6,-0.531466109
111,1.9,-0.531466109
112,1.2,0.4040295866
113,2.1,0.3954137953
114,2.7,-0.531466109
115,2.5,-0.4546225367
116,2.2,-0.4546225367
117,2.1,0.0323528486
118,3.3,0.4040295866
119,1.9,-0.0829457987
120,1,0.0323528486
121,1.2,-0.7408399111
122,1.4,0.6816311697
123,2.1,0.318570223
124,2.1,-1.5438053767
125,1.9,-0.8176834834
126,1.9,0.1648830785
127,2.1,0.0323528486
128,2.1,-1.2575880023
129,2,0.318570223
130,2.1,-0.8176834834
131,1.8,0.0323528486
132,1,0.6047875974
133,2.8,0.318570223
134,1,0.318570223
135,1.4,0.0323528486
136,1.1,0.0323528486
137,2,0.318570223
138,2.5,-0.0444907237
139,1.5,-0.2452487345
140,1,0.3954137953
141,2.9,-0.0444907237
142,1.6,-0.4546225367
143,3.1,0.7670905332
144,2.8,0.0323528486
145,1.6,-0.7408399111
146,1.8,-0.0444907237
147,2.1,0.6047875974
148,2.5,-1.1423559328
149,3.1,0.1178122121
150,1.1,0.3954137953
151,2.2,0.318570223
152,2.4,-0.6937690448
153,1,-0.8176834834
154,3.5,0.2417266507
155,1.7,-0.4075516704
156,2.5,0.0323528486
157,1.9,-0.8176834834
158,2.3,-0.6083096812
159,1.7,0.0323528486
160,1.5,0.318570223
161,3.3,0.0323528486
162,2.7,-0.4546225367
163,2.6,1.3011367848
164,1.4,-0.3691631731
165,1,0.0323528486
166,1.6,-0.1684051623
167,1.9,0.318570223
168,1.9,0.6047875974
169,3.4,0.318570223
170,3.4,0.8910049718
171,1.7,-0.4546225367
172,2.3,-0.2836372318
173,2.2,0.0409686399
174,1.8,0.318570223
175,2.4,0.318570223
176,1.6,0.0323528486
177,1.4,-0.4546225367
178,2.2,-0.4546225367
179,2.1,0.3954137953
180,2.7,-0.8647543497
181,1.6,0.0323528486
